순번,단지명,사업자등록번호,전화번호,종업원수,생산품,공장대표주소(도로명),업종명,기준일자
281,춘천동춘천일반산업단지,5638701836,070-8895-7342,5,"탁·약주, 과실주, 소주, 일반증류주, 리큐르, 기타주류",강원특별자치도 춘천시 동산면 원무동길 108-38,탁주 및 약주 제조업 외 3 종,2025-02-06
282,퇴계제2농공단지,8658101216,,5,"천연조미제품, 고춧가루",,천연 및 혼합조제 조미료 제조업 외 1 종,2025-02-06
283,춘천후평일반산업단지,8961301619,033-250-3647,1,"보석십자수, 유화그리기 등 제품 디자인","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 9층 911호",제품 디자인업,2025-02-06
284,춘천퇴계농공단지,2128154471,,15,오이피클,"강원특별자치도 춘천시 퇴계공단1길 38 (퇴계동, 늘푸른푸드(주))",김치류 제조업 외 1 종,2025-02-06
285,춘천후평일반산업단지,2210480614,033-250-4051,1, SMC 물탱크,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 505호",기타 건축용 플라스틱 조립제품 제조업,2025-02-06
286,춘천후평일반산업단지,5203600949,033-250-3655,0,토목엔지니어링,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 405호",건물 및 토목 엔지니어링 서비스업,2025-02-06
287,춘천후평일반산업단지,2211230424,033-250-4452,3,두부 등,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 319호",두부 및 유사식품 제조업,2025-02-06
288,춘천후평일반산업단지,2650802090,033-250-3655,0,설계,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 603호",건축설계 및 관련 서비스업,2025-02-06
289,춘천후평일반산업단지,8790301726,033-250-4051,1,"샷시, 창호, 철구조물",강원특별자치도 춘천시 후석로462번길 15 (후평동),"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",2025-02-06
290,춘천후평일반산업단지,4732301583,033-250-3655,0,"제도, 적산","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 603호",제도업,2025-02-06
291,춘천후평일반산업단지,2212591611,033-250-3361,3,건축자재(문틀등),강원특별자치도 춘천시 공단로 82 (후평동),목재문 및 관련제품 제조업 외 1 종,2025-02-06
292,춘천퇴계농공단지,2218111175,033-250-3655,7,"폴리에틸렌 하수관, 폴리에틸렌 수도관","강원특별자치도 춘천시 퇴계공단1길 11 (퇴계동, 대림플라스틱(주))","플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",2025-02-06
293,춘천퇴계농공단지,2211299229,070-8895-7342,2,"금속 가공(하천 석재 철망, 유실방지용)","강원특별자치도 춘천시 퇴계공단1길 5 (퇴계동, (주)대성산업춘천공장)","금속 문, 창, 셔터 및 관련제품 제조업",2025-02-06
294,춘천후평일반산업단지,,033-250-3647,1,"전기시설, 송풍시설 관리 및 가전제품 수리","강원특별자치도 춘천시 후석로420번길 7, 1동 3층 311호(후평동) 1동 3층 311호",비주거용 건물 임대업,2025-02-06
295,춘천후평일반산업단지,5043376863,033-250-3655,0,소프트웨어,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 717호",응용 소프트웨어 개발 및 공급업,2025-02-06
296,춘천퇴계농공단지,,070-8895-7349,0,전기,"강원특별자치도 춘천시 퇴계공단1길 5, 가동, 나동 (지붕 위) (퇴계동)",태양력 발전업,2025-02-06
297,춘천퇴계농공단지,,070-8895-7349,0,전기,"강원특별자치도 춘천시 퇴계공단1길 5, 나동 (지붕 위) (퇴계동)",태양력 발전업,2025-02-06
298,춘천퇴계농공단지,8348800401,033-250-3655,3,CCTV,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),방송장비 제조업 외 2 종,2025-02-06
299,퇴계제2농공단지,8348800401,033-250-3647,21,"영상감시장치, CCTV, 통합배선반, 광다중화장치",,방송장비 제조업 외 3 종,2025-02-06
300,춘천후평일반산업단지,2210640917,,0,창고업,"강원특별자치도 춘천시 후석로462번길 10, 대신사무용가구 (후평동)",일반 창고업,2025-02-06
301,춘천퇴계농공단지,3018100329,,0,화물운송,"강원특별자치도 춘천시 퇴계공단1길 44, 대신정기화물자동차(주) (퇴계동)",개별 화물자동차 운송업 외 1 종,2025-02-06
302,춘천후평일반산업단지,2211178815,,3,택배업,"강원특별자치도 춘천시 후석로462번길 23, 대신택배 (후평동)",택배업,2025-02-06
303,춘천퇴계농공단지,2210978073,033-250-3361,2,"메밀가루,전분가루",강원특별자치도 춘천시 퇴계공단1길 56-10 (퇴계동),전분제품 및 당류 제조업,2025-02-06
304,퇴계제2농공단지,8040502439,033-250-4225,3,고춧가루,강원특별자치도 춘천시 퇴계공단2길 43 (퇴계동),곡물 제분업 외 1 종,2025-02-06
305,춘천후평일반산업단지,2212595499,,4,금속문.철구조물,강원특별자치도 춘천시 후석로462번길 15 (후평동),"금속 문, 창, 셔터 및 관련제품 제조업",2025-02-06
306,춘천후평일반산업단지,,,0,폐차장,"강원특별자치도 춘천시 삭주로145번길 39, 대진기업 (후평동, 대진폐차장)",금속류 해체 및 선별업,2025-02-06
307,춘천후평일반산업단지,6580800601,033-250-4051,2,"LED등, 전기판넬","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 435호",일반용 전기 조명장치 제조업,2025-02-06
308,퇴계제2농공단지,2872101348,070-8895-7349,6,"금속 문, 창, 셔터 및 관련 제품, 플라스틱창호 및 복층유리",강원특별자치도 춘천시 퇴계공단2길 71 (퇴계동),"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",2025-02-06
309,춘천후평일반산업단지,6548101557,070-8895-7342,4,컨설팅,"강원특별자치도 춘천시 소양강로 10, 5층 505호 (후평동) 5층 505호",경영 컨설팅업,2025-02-06
310,춘천퇴계농공단지,2212527477,033-250-4813,8,유리가공,"강원특별자치도 춘천시 퇴계공단1길 56-11 (퇴계동, 대한유리상사)",안전유리 제조업 외 1 종,2025-02-06
311,춘천퇴계농공단지,8282001711,070-8895-7349,3,"중앙분리대, 볼라드, 벤치, 금속재울타리 등","강원특별자치도 춘천시 퇴계공단1길 56-16, 1동 102호 (퇴계동)",그 외 기타 플라스틱 제품 제조업 외 3 종,2025-02-06
312,춘천후평일반산업단지,2211047988,033-250-4051,2,목재가구,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 413호",기타 목재가구 제조업,2025-02-06
313,춘천퇴계농공단지,8780402530,033-250-4051,3,"탑차, 특장차","강원특별자치도 춘천시 퇴계공단길 49-7, E동 1호 (퇴계동)",차체 및 특장차 제조업,2025-02-06
314,춘천후평일반산업단지,7962101065,,16,"구명조끼, 의류",강원특별자치도 춘천시 후석로462번길 54 (후평동),기타 직물제품 제조업 외 4 종,2025-02-06
315,춘천후평일반산업단지,2211571085,033-250-4051,1,"배전반, 전기통신","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 504호",배전반 및 전기 자동제어반 제조업 외 1 종,2025-02-06
316,춘천퇴계농공단지,2210409488,,5,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
317,춘천동춘천일반산업단지,,033-250-4051,4,지붕성형강판 외,,기타 구조용 금속제품 제조업,2025-02-06
318,춘천퇴계농공단지,,070-8895-7349,4,,"강원특별자치도 춘천시 퇴계공단1길 56-14, 동진에코텍 (퇴계동)","탭, 밸브 및 유사장치 제조업 외 6 종",2025-02-06
319,춘천동춘천일반산업단지,1618801748,,20,전기,,기타 발전업,2025-02-06
320,춘천후평일반산업단지,8932201612,033-250-4452,0,인테리어디자인,"강원특별자치도 춘천시 소양강로 10, 7층 710호 (후평동)",인테리어 디자인업,2025-02-06
321,춘천후평일반산업단지,5844500305,070-8895-7342,1,항공측량,"강원특별자치도 춘천시 후석로462번길 7, 3층 318호 (후평동) 3층 318호",측량업 외 1 종,2025-02-06
322,춘천후평일반산업단지,3603400659,033-250-3655,0,드론,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 524호",무인 항공기 및 무인 비행장치 제조업,2025-02-06
323,춘천후평일반산업단지,1838602137,033-250-3655,0,경영컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 904호",경영 컨설팅업,2025-02-06
324,춘천후평일반산업단지,8618602727,070-8895-7342,1,교육용로봇,"강원특별자치도 춘천시 후석로462번길 7, 2층 207호 (후평동) 2층 207호",산업용 로봇 제조업,2025-02-06
325,춘천후평일반산업단지,6671501882,033-250-4452,1,비주거용 건물 임대,"강원특별자치도 춘천시 후석로420번길 7, 1동 1층 103호(후평동) 1동 1층 103호",비주거용 건물 임대업,2025-02-06
326,춘천후평일반산업단지,7700402314,070-8895-7349,0,임대업,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 8층 806호",비주거용 건물 임대업,2025-02-06
327,춘천퇴계농공단지,1198612764,,0,자가혈당측정기기,"강원특별자치도 춘천시 퇴계농공로 111, (주)디오스파마 (퇴계동)",전기식 진단 및 요법 기기 제조업,2025-02-06
328,춘천후평일반산업단지,8981201826,033-250-4051,1,중문 및 맞춤가구,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 230호",주방용 및 음식점용 목재가구 제조업 외 1 종,2025-02-06
329,춘천후평일반산업단지,2210935282,070-8895-7349,2,출판인쇄물,"강원특별자치도 춘천시 후석로420번길 7, 4층 429호 (후평동) 4층 429호",제책업,2025-02-06
330,춘천퇴계농공단지,2211268648,033-250-4051,1,옥외광고물,강원특별자치도 춘천시 퇴계공단1길 5 (퇴계동),간판 및 광고물 제조업,2025-02-06
331,춘천후평일반산업단지,7640902444,070-8895-7342,1,"목재공구, 장식용목제 조각품","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 717호",목재 도구 및 주방용 나무제품 제조업 외 3 종,2025-02-06
332,춘천퇴계농공단지,5944000272,,1,"간판, 이정표 등",강원특별자치도 춘천시 퇴계공단길 86  (퇴계동),간판 및 광고물 제조업,2025-02-06
333,춘천후평일반산업단지,8970900974,033-250-4051,2,"인쇄물, 디자인, 출력, 제본","강원특별자치도 춘천시 후석로420번길 7, 229호 (후평동)",경 인쇄업,2025-02-06
334,춘천후평일반산업단지,4571401158,033-250-4452,3,"시각디자인, 인쇄물(현수막, 배너, 포스터, 명함, 카탈로그, 리플렛 등)","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 201호",경 인쇄업 외 1 종,2025-02-06
335,춘천후평일반산업단지,8553801076,033-250-3655,0,"설계,엔지니어링","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 8층 816호",건물 및 토목 엔지니어링 서비스업 외 1 종,2025-02-06
336,춘천후평일반산업단지,2211313330,033-250-4225,8,알미늄사다리,"강원특별자치도 춘천시 후석로420번길 34 (후평동, 옥산가)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-02-06
337,춘천후평일반산업단지,6860801717,033-250-3647,1,제품 디자인,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 313호 외 1필지",제품 디자인업,2025-02-06
338,춘천후평일반산업단지,2700500827,033-250-3647,6,홈페이지,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 710호",호스팅 및 관련 서비스업 외 2 종,2025-02-06
339,춘천후평일반산업단지,2210986762,033-250-4225,3,"무소성타일(황토타일), 모르타르",강원특별자치도 춘천시 후석로462번길 15 (후평동),그 외 기타 분류 안된 비금속 광물제품 제조업 외 4 종,2025-02-06
340,춘천후평일반산업단지,2210977230,070-8895-7349,3,실내 액자 디자인 및 제조,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 513호",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,2025-02-06
341,춘천후평일반산업단지,2222901032,070-8895-7342,2,"홍보영상, 공고대행","강원특별자치도 춘천시 후석로462번길 7, 4층 413호 (후평동) 4층 413호",광고 영화 및 비디오물 제작업 외 1 종,2025-02-06
342,춘천후평일반산업단지,3150512058,033-250-3647,2,비거주용 건물 임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 401호",비주거용 건물 임대업,2025-02-06
343,남춘천일반산업단지,,070-8895-7349,5,"천연물 기능소 소재, 건강식품, 식품소재",강원특별자치도 춘천시 동산면 종자리로 33-7,건강기능식품 제조업,2025-02-06
344,춘천후평일반산업단지,1571001793,070-8895-7349,1,인테리어디자인,"강원특별자치도 춘천시 소양강로 10, 6층 601호 (후평동) 6층 601호 외 1필지",인테리어 디자인업,2025-02-06
345,춘천후평일반산업단지,2210876078,070-8895-7342,2,"개인용컴퓨터, 데스크탑 컴퓨터, 서버컴퓨터, 특수목적 컴퓨터","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 521호",컴퓨터 제조업,2025-02-06
346,춘천후평일반산업단지,8263100293,033-250-4452,3,"앞치마 및 작업복, 자수제품","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 522호","근무복, 작업복 및 유사의복 제조업 외 1 종",2025-02-06
347,춘천후평일반산업단지,,033-250-4051,1,"커피가공품, 제품디자인","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 532호",커피 가공업 외 1 종,2025-02-06
348,춘천후평일반산업단지,2450302413,033-250-3655,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 711호",경영 컨설팅업,2025-02-06
349,퇴계제2농공단지,2218148390,070-8895-7349,9,"자외선 방역부스, 전시부스, 가구 및 관련제품",강원특별자치도 춘천시 퇴계공단2길 56 (퇴계동),구조용 금속 판제품 및 공작물 제조업 외 2 종,2025-02-06
350,춘천퇴계농공단지,2218148390,,7,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
351,춘천동춘천일반산업단지,2378702881,070-8895-7342,42,가금류 부분육 및 가공육,강원특별자치도 춘천시 동산면 원무동길 108-25,가금류 가공 및 저장 처리업,2025-02-06
352,춘천후평일반산업단지,6065700568,033-250-3647,0,비거주용 건물 임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 403호",비주거용 건물 임대업,2025-02-06
353,춘천후평일반산업단지,4855300060,033-250-4452,2,인터넷 홈페이지,"강원특별자치도 춘천시 후석로420번길 7, 1동 4층 411호 외 1필지",시스템 소프트웨어 개발 및 공급업,2025-02-06
354,춘천후평일반산업단지,4068104085,070-8895-7342,2,S/W개발,"강원특별자치도 춘천시 후석로462번길 7, 3층 306호  (후평동) 3층 306호",시스템 소프트웨어 개발 및 공급업,2025-02-06
355,춘천퇴계농공단지,2270155903,033-250-4813,0,임대업,"강원특별자치도 춘천시 퇴계공단1길 56-16 (퇴계동, 메디코아펙스)",비주거용 건물 임대업,2025-02-06
356,춘천후평일반산업단지,2218146825,033-250-4051,2,복합비료,강원특별자치도 춘천시 소양강로 56 (후평동) 5동 3층 302호,복합비료 및 기타 화학비료 제조업 외 1 종,2025-02-06
357,춘천퇴계농공단지,1448105041,070-8895-7342,11,"의료기기(일회용내시경투관침,일반혈관용클립)",강원특별자치도 춘천시 퇴계공단1길 40 (퇴계동),그 외 기타 의료용 기기 제조업,2025-02-06
358,춘천후평일반산업단지,8230302324,033-250-4051,1,자동제어판넬,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 621호",배전반 및 전기 자동제어반 제조업,2025-02-06
359,춘천후평일반산업단지,1313302479,033-250-3647,1,"컴퓨터 등 조립, 소프트웨어 설치","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 305호",컴퓨터시설 관리업,2025-02-06
360,춘천후평일반산업단지,4911601884,033-250-3655,0,"애니메이션,캐릭터,영상","강원특별자치도 춘천시 소양강로 10, 718호 (후평동)",애니메이션 영화 및 비디오물 제작업,2025-02-06
361,춘천후평일반산업단지,7713900306,,1,화장품 포장케이스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 422호",포장용 플라스틱 성형용기 제조업,2025-02-06
362,춘천후평일반산업단지,2211049370,,0,보관업,강원특별자치도 춘천시 후평동 623-40번지,일반 창고업,2025-02-06
363,춘천후평일반산업단지,8348701631,033-250-3647,3,일반 영화 및 비디오물 제작,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 303호",일반 영화 및 비디오물 제작업,2025-02-06
364,춘천후평일반산업단지,5033263484,033-250-4452,1,부동산임대,"강원특별자치도 춘천시 후석로420번길 7, 1동 1층 110호(후평동) 1동 1층 110호",비주거용 건물 임대업,2025-02-06
365,춘천후평일반산업단지,3583400942,033-250-4452,5,"파스트라미, 잠봉(프랑스식햄), 베이컨 외","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 515호",육류 기타 가공 및 저장처리업 (가금류 제외),2025-02-06
366,춘천후평일반산업단지,2211027721,033-250-3647,3,"인쇄물, 광고대행","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 712호",경 인쇄업 외 1 종,2025-02-06
367,춘천후평일반산업단지,8415300708,070-8895-7349,1,"경영자문, 기획자문","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 207호",비주거용 건물 임대업,2025-02-06
368,춘천후평일반산업단지,5106300725,070-8895-7349,3,교육기업 경영컨설팅,"강원특별자치도 춘천시 소양강로 10, 8층 808호 (후평동) 8층 808호 외 1필지",경영 컨설팅업,2025-02-06
369,춘천거두농공단지,1078830220,033-250-4225,290,"체외진단용 의약품, 진단기기","강원특별자치도 춘천시 동내면 거두단지1길 43, 바디텍메드",의료용품 및 기타 의약 관련제품 제조업 외 1 종,2025-02-06
370,춘천거두농공단지,1078830220,033-250-4225,280,체외진단기기,강원특별자치도 춘천시 동내면 거두단지1길 14,의료용품 및 기타 의약 관련제품 제조업 외 1 종,2025-02-06
371,춘천거두농공단지,,,45,"체외진단기기, 체외진단카트리지",강원특별자치도 춘천시 동내면 거두단지2길 48,의료용품 및 기타 의약 관련제품 제조업 외 1 종,2025-02-06
372,춘천후평일반산업단지,3874900245,033-250-3647,3,"보고서, 도면,  컴퓨터그래픽(CG), 데이터베이스(DB)","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 9층 917호",도시계획 및 조경설계 서비스업 외 3 종,2025-02-06
373,춘천후평일반산업단지,1138637578,033-250-4452,2,광고대행,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 502호",광고 대행업 외 2 종,2025-02-06
374,춘천후평일반산업단지,,033-250-4051,1,디퓨져,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 202호",표면광택제 및 실내가향제 제조업,2025-02-06
375,춘천후평일반산업단지,,033-250-4051,1,실내가향제,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 203호 외 1필지",표면광택제 및 실내가향제 제조업,2025-02-06
376,춘천후평일반산업단지,2622701939,070-8895-7349,10,"참기름, 들기름","강원특별자치도 춘천시 소양강로 10, 6층 627호  (후평동) 6층 627호",식물성 유지 제조업,2025-02-06
377,춘천후평일반산업단지,2750501684,033-250-4452,1,반찬,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 516호",과실 및 그 외 채소 절임식품 제조업,2025-02-06
378,춘천후평일반산업단지,6718102342,070-8895-7349,5,김치,"강원특별자치도 춘천시 후석로420번길 7, 5층 517호 (후평동) 5층 517호",김치류 제조업,2025-02-06
379,춘천후평일반산업단지,2252401434,070-8895-7349,0,청소 대행,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 607호",사업시설 유지.관리 서비스업,2025-02-06
380,춘천후평일반산업단지,3710402567,033-250-3655,0,경영컨설팅,"강원특별자치도 춘천시 후석로420번길 7, 1동 8층 808호 (후평동) 1동 8층 808호",경영 컨설팅업,2025-02-06
381,춘천후평일반산업단지,2930502186,033-250-3647,2,경영 컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 613호",경영 컨설팅업,2025-02-06
382,춘천후평일반산업단지,,070-8895-7342,1,유산균,"강원특별자치도 춘천시 소양강로 32, 춘천바이오타운 1~3동 (후평동)","물리, 화학 및 생물학 연구개발업",2025-02-06
383,춘천후평일반산업단지,2954000905,033-250-4051,1,제책(지본),"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 605호",경 인쇄업 외 1 종,2025-02-06
384,춘천후평일반산업단지,2360701820,033-250-3647,1,"음반제작, 음원발매, 녹음","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 818호",음악 및 기타 오디오물 출판업,2025-02-06
385,춘천창촌농공단지,1737300087,,10,"유기농제품 원사,직물",강원특별자치도 춘천시 남산면 보매기길 86,연사 및 가공사 제조업,2025-02-06
386,퇴계제2농공단지,3203601348,070-8895-7349,0,전력생산,강원특별자치도 춘천시 퇴계공단2길 42 (퇴계동),태양력 발전업,2025-02-06
387,춘천후평일반산업단지,8210302293,033-250-3655,0,경영컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 516호",경영 컨설팅업,2025-02-06
388,춘천후평일반산업단지,7011301704,070-8895-7342,0,"농업, 임업 연구개발","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 3층 317호",비주거용 건물 임대업,2025-02-06
389,춘천후평일반산업단지,2218107273,033-250-3361,3,"복층유리, 창호","강원특별자치도 춘천시 후석로462번길 28 (후평동, 부성유리(주))",안전유리 제조업 외 2 종,2025-02-06
390,춘천퇴계농공단지,2210946493,,0,유선방송,"강원특별자치도 춘천시 퇴계공단1길 10, 부일네트웍 (퇴계동)",유선 방송업 외 1 종,2025-02-06
391,춘천후평일반산업단지,7124000598,033-250-4452,1,광고대행,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 827호",광고 대행업,2025-02-06
392,춘천후평일반산업단지,6741801523,070-8895-7349,0,영상물,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 419호","영화, 비디오물 및 방송프로그램 제작 관련 서비스업",2025-02-06
393,퇴계제2농공단지,2218142625,,7,모터펌프,강원특별자치도 춘천시 퇴계공단2길 64 (퇴계동),액체 펌프 제조업 외 4 종,2025-02-06
394,춘천퇴계농공단지,1248644268,033-250-4051,33,정형외과용 및 신체보정용 기기,"강원특별자치도 춘천시 퇴계농공로 84 (퇴계동, 선진물류(주))",정형외과용 및 신체보정용 기기 제조업 외 1 종,2025-02-06
395,춘천후평일반산업단지,8464900778,033-250-3655,0,사료연구,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 621호",농림수산학 및 수의학 연구개발업,2025-02-06
396,춘천후평일반산업단지,2261372765,033-250-4051,1,전기조명장치,"강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 2층 233호",일반용 전기 조명장치 제조업,2025-02-06
397,춘천후평일반산업단지,7750701742,033-250-3647,1,포장모종,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 9층 912호",포장 및 충전업,2025-02-06
398,춘천후평일반산업단지,5312701005,033-250-4051,1,장식용 목제품,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 823호",장식용 목제품 제조업,2025-02-06
399,춘천퇴계농공단지,3748200343,070-8895-7349,14,"조끼, 작업복, 점퍼 등 피복류","강원특별자치도 춘천시 퇴계농공로 87, 202호 (퇴계동)",그 외 기타 의복액세서리 제조업 외 10 종,2025-02-06
400,춘천후평일반산업단지,2640602453,033-250-4051,8,"단체급식서비스, 간편조리세트","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 327호 외 1필지",도시락류 제조업,2025-02-06
401,춘천후평일반산업단지,8964500815,033-250-3647,1,컨설팅,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 336호",경영 컨설팅업,2025-02-06
402,삼성SDS춘천센터도시첨단산업단지,1108128774,,60,컴퓨터시스템 통합 자문 및 구축 서비스,강원특별자치도 춘천시 옛경춘로 409-14 (칠전동) 삼성SDS춘천센터도시첨단산업단지,컴퓨터시스템 통합 자문 및 구축 서비스업,2025-02-06
403,춘천후평일반산업단지,3042810272,033-250-3647,2,경영컨설팅,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 324호 외 2필지",경영 컨설팅업,2025-02-06
404,춘천후평일반산업단지,3383800437,033-250-4225,5,건축자재,강원특별자치도 춘천시 공단로 49 (후평동),표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,2025-02-06
405,춘천후평일반산업단지,5290702129,070-8895-7349,0,경영컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 623호",경영 컨설팅업,2025-02-06
406,춘천후평일반산업단지,2218146126,033-250-4813,5,양념닭갈비,"강원특별자치도 춘천시 후석로462번길 21, 3동 3호 (후평동)",가금류 가공 및 저장 처리업,2025-02-06
407,춘천퇴계농공단지,2211224320,070-8895-7342,6,가구 제조(목재),강원특별자치도 춘천시 퇴계공단길 62 (퇴계동),기타 목재가구 제조업 외 1 종,2025-02-06
408,춘천후평일반산업단지,8822601319,,3,배전반 및 전기제어반용패널제조,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 226호",배전반 및 전기 자동제어반 제조업,2025-02-06
409,남춘천일반산업단지,8438800934,070-8895-7349,73,일반창고업,,일반 창고업 외 1 종,2025-02-06
410,춘천퇴계농공단지,2018182623,033-0250-4813,5,이소플라본,"강원특별자치도 춘천시 퇴계농공로 92 (퇴계동, (주)한국편의시설산업)",건강기능식품 제조업,2025-02-06
411,춘천후평일반산업단지,2210236109,033-250-3655,3,광고 도안 및 기획,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 321호","광고물 문안, 도안, 설계 등 작성업",2025-02-06
412,춘천후평일반산업단지,2862301413,033-250-3647,0,비거주용 건물 임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 404호",비주거용 건물 임대업,2025-02-06
413,춘천퇴계농공단지,2218120674,,6,무대장치,"강원특별자치도 춘천시 퇴계공단1길 58 (퇴계동, 정안사)",커튼 및 유사제품 제조업 외 6 종,2025-02-06
414,춘천후평일반산업단지,5990302377,033-250-3655,1,인테리어 디자인,"강원특별자치도 춘천시 소양강로 10, 314호 (후평동)",인테리어 디자인업,2025-02-06
415,춘천퇴계농공단지,2210924859,033-250-3092,8,사무용가구,강원특별자치도 춘천시 퇴계공단1길 55 (퇴계동),기타 목재가구 제조업 외 3 종,2025-02-06
416,춘천후평일반산업단지,2210924859,070-8895-7342,0,인테리어 디자인,"강원특별자치도 춘천시 소양강로 10, 515호 (후평동) 515호",인테리어 디자인업,2025-02-06
417,춘천후평일반산업단지,5917000493,033-250-3647,1,"장식용 목제품, 인테리어디자인","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 533호",장식용 목제품 제조업 외 1 종,2025-02-06
418,춘천퇴계농공단지,1248636905,070-8895-7342,23,냉동식품(만두),강원특별자치도 춘천시 퇴계농공로 76 (퇴계동),도시락류 제조업 외 1 종,2025-02-06
419,춘천퇴계농공단지,2211174541,033-250-4051,3,"포장박스, 농산물박스, 식품박스, 육가공박스, 공산품박스",강원특별자치도 춘천시 퇴계공단1길 61-7 (퇴계동),골판지 제조업,2025-02-06
420,춘천거두농공단지,2218131002,,18,"도로.교통표지판, 안전시설물, 교통제어신호등",강원특별자치도 춘천시 동내면 거두단지1길 56,금속 표시판 제조업 외 13 종,2025-02-06
421,춘천후평일반산업단지,6968802302,070-8895-7349,1,화장품 원료,"강원특별자치도 춘천시 소양강로 10, 604호 (후평동)",그 외 기타 분류 안된 화학제품 제조업,2025-02-06
422,춘천후평일반산업단지,,033-250-3655,0,컨성팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 3층 310호",경영 컨설팅업,2025-02-06
423,춘천후평일반산업단지,,033-250-3655,1,경영 컨설팅 보고서,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 907호",경영 컨설팅업,2025-02-06
